epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.785,1.86771,3.36198,1.9125,1,0.71421,0.80857,0.42948,1.4382,2.96278,1.7562,6e-05,6e-05,6e-05
2,205.9,1.51988,1.91773,1.49253,0.67912,0.58393,0.67139,0.40445,1.34377,2.24362,1.46316,0.00012614,0.00012614,0.00012614
3,308.76,1.4772,2.42007,1.47636,0.62033,0.72414,0.71887,0.39206,1.46764,4.45204,1.48126,0.00017644,0.00017644,0.00017644
4,452.719,1.32745,2.28407,1.38876,0.62848,0.75833,0.70674,0.36765,1.47299,2.23369,1.5123,0.0002109,0.0002109,0.0002109
5,569.018,1.34703,1.87908,1.39854,0.84612,0.75841,0.89073,0.53049,1.38864,2.02128,1.54009,0.00022952,0.00022952,0.00022952
6,724.241,1.22289,1.5937,1.26756,0.99065,0.68966,0.87277,0.54184,1.35619,1.96728,1.61901,0.0002323,0.0002323,0.0002323
7,860.601,1.24101,1.36887,1.3002,0.81778,1,0.95391,0.58192,1.25722,2.69207,1.51822,0.00021924,0.00021924,0.00021924
8,991.959,1.26521,1.23202,1.30139,0.86429,0.87874,0.95519,0.54972,1.24989,3.12864,1.42341,0.00019034,0.00019034,0.00019034
9,1107.86,1.19751,1.28583,1.28396,0.69125,0.93103,0.92285,0.57463,1.16562,3.43481,1.38519,0.0001456,0.0001456,0.0001456
10,1215.94,1.20325,1.31896,1.32831,0.79821,0.955,0.9408,0.59356,1.1446,2.51996,1.33552,8.502e-05,8.502e-05,8.502e-05
